expver,time,t2m
1,2020-01-01 00:00:00,246.6831
1,2020-01-01 01:00:00,247.68398
1,2020-01-01 02:00:00,247.67468
1,2020-01-01 03:00:00,247.79243
1,2020-01-01 04:00:00,252.39244
1,2020-01-01 05:00:00,255.23393
1,2020-01-01 06:00:00,256.71356
1,2020-01-01 07:00:00,257.01257
1,2020-01-01 08:00:00,257.65402
1,2020-01-01 09:00:00,257.826
1,2020-01-01 10:00:00,256.27975
1,2020-01-01 11:00:00,255.70804
1,2020-01-01 12:00:00,254.32602
1,2020-01-01 13:00:00,251.96481
1,2020-01-01 14:00:00,251.2924
1,2020-01-01 15:00:00,252.10736
1,2020-01-01 16:00:00,251.10803
1,2020-01-01 17:00:00,249.91814
1,2020-01-01 18:00:00,249.2922
1,2020-01-01 19:00:00,248.65387
1,2020-01-01 20:00:00,247.85286
1,2020-01-01 21:00:00,247.56778
1,2020-01-01 22:00:00,248.28358
1,2020-01-01 23:00:00,247.3834
1,2020-01-02 00:00:00,247.46243
1,2020-01-02 01:00:00,247.07974
1,2020-01-02 02:00:00,246.30817
1,2020-01-02 03:00:00,247.48567
1,2020-01-02 04:00:00,250.50688
1,2020-01-02 05:00:00,254.93802
1,2020-01-02 06:00:00,256.25806
1,2020-01-02 07:00:00,256.554
1,2020-01-02 08:00:00,256.8592
1,2020-01-02 09:00:00,256.84216
1,2020-01-02 10:00:00,255.64142
1,2020-01-02 11:00:00,254.81871
1,2020-01-02 12:00:00,252.80922
1,2020-01-02 13:00:00,254.18039
1,2020-01-02 14:00:00,251.80989
1,2020-01-02 15:00:00,250.4914
1,2020-01-02 16:00:00,249.10008
1,2020-01-02 17:00:00,247.73666
1,2020-01-02 18:00:00,247.48412
1,2020-01-02 19:00:00,246.06027
1,2020-01-02 20:00:00,244.9122
1,2020-01-02 21:00:00,244.51093
1,2020-01-02 22:00:00,244.77896
1,2020-01-02 23:00:00,244.3157
1,2020-01-03 00:00:00,244.63332
1,2020-01-03 01:00:00,244.70615
1,2020-01-03 02:00:00,244.88277
1,2020-01-03 03:00:00,246.67845
1,2020-01-03 04:00:00,250.55182
1,2020-01-03 05:00:00,254.38954
1,2020-01-03 06:00:00,255.99931
1,2020-01-03 07:00:00,256.45792
1,2020-01-03 08:00:00,257.38132
1,2020-01-03 09:00:00,257.39062
1,2020-01-03 10:00:00,256.57568
1,2020-01-03 11:00:00,256.20694
1,2020-01-03 12:00:00,253.70474
1,2020-01-03 13:00:00,253.40572
1,2020-01-03 14:00:00,251.58987
1,2020-01-03 15:00:00,252.00821
1,2020-01-03 16:00:00,251.51396
1,2020-01-03 17:00:00,250.60295
1,2020-01-03 18:00:00,249.47658
1,2020-01-03 19:00:00,248.19217
1,2020-01-03 20:00:00,246.96663
1,2020-01-03 21:00:00,245.78448
1,2020-01-03 22:00:00,245.45758
1,2020-01-03 23:00:00,244.49854
1,2020-01-04 00:00:00,243.93921
1,2020-01-04 01:00:00,243.52399
1,2020-01-04 02:00:00,243.20328
1,2020-01-04 03:00:00,244.69684
1,2020-01-04 04:00:00,249.05515
1,2020-01-04 05:00:00,253.15936
1,2020-01-04 06:00:00,254.98294
1,2020-01-04 07:00:00,255.49113
1,2020-01-04 08:00:00,256.02875
1,2020-01-04 09:00:00,255.88156
1,2020-01-04 10:00:00,254.3725
1,2020-01-04 11:00:00,253.34064
1,2020-01-04 12:00:00,250.76562
1,2020-01-04 13:00:00,251.47368
1,2020-01-04 14:00:00,251.17001
1,2020-01-04 15:00:00,250.83224
1,2020-01-04 16:00:00,249.99405
1,2020-01-04 17:00:00,248.53458
1,2020-01-04 18:00:00,247.33537
1,2020-01-04 19:00:00,246.74197
1,2020-01-04 20:00:00,245.45137
1,2020-01-04 21:00:00,245.40489
1,2020-01-04 22:00:00,244.75107
1,2020-01-04 23:00:00,243.94077
1,2020-01-05 00:00:00,243.44498
1,2020-01-05 01:00:00,242.97243
1,2020-01-05 02:00:00,243.04214
1,2020-01-05 03:00:00,244.26923
1,2020-01-05 04:00:00,248.09766
1,2020-01-05 05:00:00,251.54185
1,2020-01-05 06:00:00,252.23906
1,2020-01-05 07:00:00,252.66357
1,2020-01-05 08:00:00,253.36078
1,2020-01-05 09:00:00,253.34839
1,2020-01-05 10:00:00,252.71315
1,2020-01-05 11:00:00,252.00356
1,2020-01-05 12:00:00,249.7539
1,2020-01-05 13:00:00,246.67381
1,2020-01-05 14:00:00,244.2088
1,2020-01-05 15:00:00,243.03285
1,2020-01-05 16:00:00,243.35976
1,2020-01-05 17:00:00,245.79533
1,2020-01-05 18:00:00,246.48479
1,2020-01-05 19:00:00,246.32831
1,2020-01-05 20:00:00,245.95337
1,2020-01-05 21:00:00,246.28802
1,2020-01-05 22:00:00,246.01534
1,2020-01-05 23:00:00,246.29732
1,2020-01-06 00:00:00,246.50803
1,2020-01-06 01:00:00,246.56381
1,2020-01-06 03:00:00,248.4912
1,2020-01-06 04:00:00,251.86566
1,2020-01-06 05:00:00,256.43622
1,2020-01-06 06:00:00,258.21024
1,2020-01-06 07:00:00,259.53802
1,2020-01-06 08:00:00,260.83792
1,2020-01-06 09:00:00,260.7899
1,2020-01-06 10:00:00,260.9789
1,2020-01-06 11:00:00,259.97647
1,2020-01-06 12:00:00,258.1746
1,2020-01-06 13:00:00,255.65227
1,2020-01-06 14:00:00,253.57614
1,2020-01-06 15:00:00,253.37628
1,2020-01-06 16:00:00,253.84262
1,2020-01-06 17:00:00,252.80457
1,2020-01-06 18:00:00,253.37938
1,2020-01-06 19:00:00,253.05556
1,2020-01-06 21:00:00,252.02214
1,2020-01-06 22:00:00,250.64323
1,2020-01-06 23:00:00,250.30237
1,2020-01-07 00:00:00,249.48587
1,2020-01-07 01:00:00,249.25812
1,2020-01-07 02:00:00,250.77647
1,2020-01-07 03:00:00,253.14851
1,2020-01-07 04:00:00,257.85077
1,2020-01-07 05:00:00,260.6148
1,2020-01-07 06:00:00,261.40497
1,2020-01-07 07:00:00,261.62964
1,2020-01-07 08:00:00,262.36557
1,2020-01-07 09:00:00,262.47247
1,2020-01-07 10:00:00,261.532
1,2020-01-07 11:00:00,260.04776
1,2020-01-07 12:00:00,256.6268
1,2020-01-07 13:00:00,252.95485
1,2020-01-07 14:00:00,252.29793
1,2020-01-07 15:00:00,250.79352
1,2020-01-07 16:00:00,249.83138
1,2020-01-07 17:00:00,251.57593
1,2020-01-07 18:00:00,253.2012
1,2020-01-07 19:00:00,252.65582
1,2020-01-07 20:00:00,253.17175
1,2020-01-07 21:00:00,253.50333
1,2020-01-07 22:00:00,249.72447
1,2020-01-07 23:00:00,252.44667
1,2020-01-08 00:00:00,251.99736
1,2020-01-08 01:00:00,250.80281
1,2020-01-08 02:00:00,248.29132
1,2020-01-08 03:00:00,252.38934
1,2020-01-08 04:00:00,255.90636
1,2020-01-08 05:00:00,258.48447
1,2020-01-08 06:00:00,258.44418
1,2020-01-08 07:00:00,258.83307
1,2020-01-08 08:00:00,259.2638
1,2020-01-08 09:00:00,259.3769
1,2020-01-08 10:00:00,258.32797
1,2020-01-08 11:00:00,257.5626
1,2020-01-08 12:00:00,254.29349
1,2020-01-08 13:00:00,254.02545
1,2020-01-08 14:00:00,253.27557
1,2020-01-08 15:00:00,253.99756
1,2020-01-08 16:00:00,254.86674
1,2020-01-08 17:00:00,255.28043
1,2020-01-08 18:00:00,254.11841
1,2020-01-08 19:00:00,253.32205
1,2020-01-08 20:00:00,252.7023
1,2020-01-08 21:00:00,251.63016
1,2020-01-08 22:00:00,250.5704
1,2020-01-08 23:00:00,250.3628
1,2020-01-09 00:00:00,249.23178
1,2020-01-09 01:00:00,248.12865
1,2020-01-09 02:00:00,248.48654
1,2020-01-09 04:00:00,254.56152
1,2020-01-09 05:00:00,257.04514
1,2020-01-09 06:00:00,257.19385
1,2020-01-09 07:00:00,256.68878
1,2020-01-09 08:00:00,256.83752
1,2020-01-09 09:00:00,256.82666
1,2020-01-09 10:00:00,255.72198
