expver,time,t2m
1,2020-01-01 00:00:00,264.00323
1,2020-01-01 01:00:00,264.26352
1,2020-01-01 02:00:00,264.54858
1,2020-01-01 03:00:00,264.4386
1,2020-01-01 04:00:00,267.24445
1,2020-01-01 05:00:00,272.7338
1,2020-01-01 06:00:00,273.28845
1,2020-01-01 07:00:00,273.84003
1,2020-01-01 08:00:00,274.2692
1,2020-01-01 09:00:00,273.69904
1,2020-01-01 10:00:00,269.9868
1,2020-01-01 11:00:00,271.32388
1,2020-01-01 12:00:00,271.96066
1,2020-01-01 13:00:00,270.86063
1,2020-01-01 14:00:00,267.61786
1,2020-01-01 15:00:00,265.39764
1,2020-01-01 16:00:00,264.68185
1,2020-01-01 17:00:00,262.57782
1,2020-01-01 18:00:00,262.46783
1,2020-01-01 19:00:00,262.14246
1,2020-01-01 20:00:00,261.02847
1,2020-01-01 21:00:00,261.13693
1,2020-01-01 22:00:00,259.0097
1,2020-01-01 23:00:00,258.79587
1,2020-01-02 00:00:00,258.51544
1,2020-01-02 01:00:00,258.6456
1,2020-01-02 02:00:00,258.89813
1,2020-01-02 03:00:00,259.84634
1,2020-01-02 04:00:00,262.62897
1,2020-01-02 05:00:00,269.21988
1,2020-01-02 06:00:00,272.54477
1,2020-01-02 07:00:00,273.92987
1,2020-01-02 08:00:00,275.84332
1,2020-01-02 09:00:00,276.12067
1,2020-01-02 10:00:00,273.3024
1,2020-01-02 11:00:00,271.55008
1,2020-01-02 12:00:00,270.29977
1,2020-01-02 13:00:00,265.3558
1,2020-01-02 14:00:00,261.88373
1,2020-01-02 15:00:00,260.621
1,2020-01-02 16:00:00,260.1996
1,2020-01-02 17:00:00,259.23746
1,2020-01-02 18:00:00,258.51544
1,2020-01-02 19:00:00,258.62234
1,2020-01-02 20:00:00,257.795
1,2020-01-02 21:00:00,257.826
1,2020-01-02 22:00:00,257.46655
1,2020-01-02 23:00:00,257.7919
1,2020-01-03 00:00:00,258.04443
1,2020-01-03 01:00:00,258.20404
1,2020-01-03 02:00:00,258.21332
1,2020-01-03 03:00:00,259.70068
1,2020-01-03 04:00:00,262.144
1,2020-01-03 05:00:00,268.68533
1,2020-01-03 06:00:00,271.78094
1,2020-01-03 07:00:00,272.427
1,2020-01-03 08:00:00,273.17844
1,2020-01-03 09:00:00,272.3635
1,2020-01-03 10:00:00,267.77744
1,2020-01-03 11:00:00,266.053
1,2020-01-03 12:00:00,266.57825
1,2020-01-03 13:00:00,266.72543
1,2020-01-03 14:00:00,266.115
1,2020-01-03 15:00:00,265.67807
1,2020-01-03 16:00:00,264.89874
1,2020-01-03 17:00:00,262.9946
1,2020-01-03 18:00:00,261.5723
1,2020-01-03 19:00:00,260.53735
