expver,time,t2m
1,2020-01-01 00:00:00,275.19104
1,2020-01-01 01:00:00,275.2809
1,2020-01-01 02:00:00,275.975
1,2020-01-01 03:00:00,276.35925
1,2020-01-01 04:00:00,276.7621
1,2020-01-01 05:00:00,280.8632
1,2020-01-01 06:00:00,282.56592
1,2020-01-01 07:00:00,283.42273
1,2020-01-01 08:00:00,286.36182
1,2020-01-01 09:00:00,286.61438
1,2020-01-01 10:00:00,285.86447
1,2020-01-01 11:00:00,285.3408
1,2020-01-01 12:00:00,286.1604
1,2020-01-01 13:00:00,285.9621
1,2020-01-01 14:00:00,283.44595
1,2020-01-01 15:00:00,283.73724
1,2020-01-01 16:00:00,283.78992
1,2020-01-01 17:00:00,282.4296
1,2020-01-01 18:00:00,281.98648
1,2020-01-01 19:00:00,281.61774
1,2020-01-01 20:00:00,280.42474
1,2020-01-01 21:00:00,280.30542
1,2020-01-01 22:00:00,279.73062
1,2020-01-01 23:00:00,279.73218
1,2020-01-02 00:00:00,279.56174
1,2020-01-02 01:00:00,279.8143
1,2020-01-02 02:00:00,280.1412
1,2020-01-02 03:00:00,280.3829
1,2020-01-02 04:00:00,280.49756
1,2020-01-02 05:00:00,282.51324
1,2020-01-02 06:00:00,282.5055
1,2020-01-02 07:00:00,282.91452
1,2020-01-02 08:00:00,284.43445
1,2020-01-02 09:00:00,285.13318
1,2020-01-02 10:00:00,284.60797
1,2020-01-02 11:00:00,284.5522
1,2020-01-02 12:00:00,283.85187
1,2020-01-02 13:00:00,283.53116
1,2020-01-02 14:00:00,282.8665
1,2020-01-02 15:00:00,282.31802
1,2020-01-02 16:00:00,282.2886
1,2020-01-02 17:00:00,281.43954
1,2020-01-02 18:00:00,281.31717
1,2020-01-02 19:00:00,281.06772
1,2020-01-02 20:00:00,280.58276
1,2020-01-02 21:00:00,280.45108
1,2020-01-02 22:00:00,279.3526
1,2020-01-02 23:00:00,279.19147
1,2020-01-03 00:00:00,279.25034
1,2020-01-03 01:00:00,279.34485
1,2020-01-03 02:00:00,279.37274
1,2020-01-03 03:00:00,279.3495
