longitude,latitude,time,t2m
55.0,55.0,1979-01-01 00:00:00,224.12527
55.0,55.0,1979-01-01 01:00:00,223.85095
55.0,55.0,1979-01-01 02:00:00,223.476
55.0,55.0,1979-01-01 03:00:00,224.14963
55.0,55.0,1979-01-01 04:00:00,224.08957
55.0,55.0,1979-01-01 05:00:00,223.63182
55.0,55.0,1979-01-01 06:00:00,224.50186
55.0,55.0,1979-01-01 07:00:00,225.25665
55.0,55.0,1979-01-01 08:00:00,225.97736
55.0,55.0,1979-01-01 09:00:00,229.85356
55.0,55.0,1979-01-01 10:00:00,232.09683
55.0,55.0,1979-01-01 11:00:00,232.46042
55.0,55.0,1979-01-01 12:00:00,232.54483
55.0,55.0,1979-01-01 13:00:00,232.48477
55.0,55.0,1979-01-01 14:00:00,231.49786
55.0,55.0,1979-01-01 15:00:00,231.2138
55.0,55.0,1979-01-01 16:00:00,230.79988
55.0,55.0,1979-01-01 17:00:00,231.43942
55.0,55.0,1979-01-01 18:00:00,232.13902
55.0,55.0,1979-01-01 19:00:00,232.10493
55.0,55.0,1979-01-01 20:00:00,231.92151
55.0,55.0,1979-01-01 21:00:00,232.73474
55.0,55.0,1979-01-01 22:00:00,236.0623
55.0,55.0,1979-01-01 23:00:00,236.63692
55.0,55.0,1979-01-02 00:00:00,237.73096
55.0,55.0,1979-01-02 01:00:00,237.916
55.0,55.0,1979-01-02 02:00:00,238.64319
55.0,55.0,1979-01-02 03:00:00,241.07962
55.0,55.0,1979-01-02 04:00:00,240.99521
55.0,55.0,1979-01-02 05:00:00,241.45459
55.0,55.0,1979-01-02 06:00:00,241.83928
55.0,55.0,1979-01-02 07:00:00,241.96751
55.0,55.0,1979-01-02 08:00:00,242.58595
55.0,55.0,1979-01-02 09:00:00,245.65056
55.0,55.0,1979-01-02 10:00:00,248.15517
55.0,55.0,1979-01-02 11:00:00,248.28664
55.0,55.0,1979-01-02 12:00:00,248.3889
55.0,55.0,1979-01-02 13:00:00,248.7103
55.0,55.0,1979-01-02 14:00:00,249.04143
55.0,55.0,1979-01-02 15:00:00,254.55869
55.0,55.0,1979-01-02 16:00:00,254.82166
55.0,55.0,1979-01-02 17:00:00,254.97586
55.0,55.0,1979-01-02 18:00:00,255.17226
55.0,55.0,1979-01-02 19:00:00,255.31834
55.0,55.0,1979-01-02 20:00:00,255.47418
55.0,55.0,1979-01-02 21:00:00,255.29887
55.0,55.0,1979-01-02 22:00:00,259.41208
55.0,55.0,1979-01-02 23:00:00,259.83734
55.0,55.0,1979-01-03 00:00:00,260.09705
55.0,55.0,1979-01-03 01:00:00,260.24478
55.0,55.0,1979-01-03 02:00:00,260.24313
55.0,55.0,1979-01-03 03:00:00,263.11783
55.0,55.0,1979-01-03 04:00:00,263.13733
55.0,55.0,1979-01-03 05:00:00,263.20547
55.0,55.0,1979-01-03 06:00:00,263.17465
55.0,55.0,1979-01-03 07:00:00,263.11945
55.0,55.0,1979-01-03 08:00:00,263.48306
55.0,55.0,1979-01-03 09:00:00,262.83377
55.0,55.0,1979-01-03 10:00:00,263.4652
55.0,55.0,1979-01-03 11:00:00,263.42624
55.0,55.0,1979-01-03 12:00:00,263.4879
55.0,55.0,1979-01-03 13:00:00,263.62103
55.0,55.0,1979-01-03 14:00:00,263.7103
55.0,55.0,1979-01-03 15:00:00,262.8354
55.0,55.0,1979-01-03 16:00:00,262.52213
55.0,55.0,1979-01-03 17:00:00,261.9102
55.0,55.0,1979-01-03 18:00:00,262.1017
55.0,55.0,1979-01-03 19:00:00,262.64874
55.0,55.0,1979-01-03 20:00:00,262.36792
55.0,55.0,1979-01-03 21:00:00,261.90692
55.0,55.0,1979-01-03 22:00:00,260.71063
55.0,55.0,1979-01-03 23:00:00,260.0857
55.0,55.0,1979-01-04 00:00:00,260.0224
55.0,55.0,1979-01-04 01:00:00,259.82922
55.0,55.0,1979-01-04 02:00:00,259.80975
55.0,55.0,1979-01-04 03:00:00,255.43198
55.0,55.0,1979-01-04 04:00:00,255.07324
55.0,55.0,1979-01-04 05:00:00,255.29237
55.0,55.0,1979-01-04 06:00:00,255.35243
55.0,55.0,1979-01-04 07:00:00,255.6235
55.0,55.0,1979-01-04 08:00:00,255.83777
55.0,55.0,1979-01-04 09:00:00,258.36346
55.0,55.0,1979-01-04 10:00:00,256.16403
55.0,55.0,1979-01-04 11:00:00,256.30038
55.0,55.0,1979-01-04 12:00:00,256.68994
55.0,55.0,1979-01-04 14:00:00,255.4823
55.0,55.0,1979-01-04 15:00:00,255.9157
55.0,55.0,1979-01-04 16:00:00,256.1624
55.0,55.0,1979-01-04 17:00:00,256.5877
55.0,55.0,1979-01-04 18:00:00,256.99673
55.0,55.0,1979-01-04 19:00:00,256.8474
55.0,55.0,1979-01-04 20:00:00,257.22235
55.0,55.0,1979-01-04 21:00:00,258.2401
55.0,55.0,1979-01-04 22:00:00,258.49335
55.0,55.0,1979-01-04 23:00:00,258.65402
55.0,55.0,1979-01-05 00:00:00,258.7774
55.0,55.0,1979-01-05 01:00:00,258.66214
55.0,55.0,1979-01-05 02:00:00,258.68326
55.0,55.0,1979-01-05 03:00:00,261.34042
55.0,55.0,1979-01-05 04:00:00,261.40698
55.0,55.0,1979-01-05 05:00:00,261.36154
55.0,55.0,1979-01-05 06:00:00,261.69916
55.0,55.0,1979-01-05 07:00:00,261.5969
55.0,55.0,1979-01-05 08:00:00,261.41995
55.0,55.0,1979-01-05 09:00:00,259.6247
55.0,55.0,1979-01-05 10:00:00,262.8565
55.0,55.0,1979-01-05 11:00:00,263.09674
55.0,55.0,1979-01-05 12:00:00,263.1974
55.0,55.0,1979-01-05 13:00:00,263.57394
55.0,55.0,1979-01-05 14:00:00,263.92618
55.0,55.0,1979-01-05 15:00:00,261.74622
55.0,55.0,1979-01-05 16:00:00,262.0238
55.0,55.0,1979-01-05 17:00:00,262.69742
55.0,55.0,1979-01-05 18:00:00,262.51886
55.0,55.0,1979-01-05 19:00:00,261.9475
55.0,55.0,1979-01-05 20:00:00,261.02066
55.0,55.0,1979-01-05 21:00:00,259.90228
55.0,55.0,1979-01-05 22:00:00,256.9107
55.0,55.0,1979-01-05 23:00:00,256.8393
55.0,55.0,1979-01-06 00:00:00,256.54385
55.0,55.0,1979-01-06 01:00:00,256.17865
55.0,55.0,1979-01-06 02:00:00,255.93192
